Class;Coverage;Estimate Complexity
APTParser;[90%-100%];1.0
APTRenderer;[90%-100%];1.0
APTRendererFactory;[90%-100%];1.0
AbstractAdvancedSearchableExtensionRepository;[90%-100%];1.0
AbstractAnnotationEvent;[30%-40%];1.0
AbstractAnnotationMaintainer;[90%-100%];7.33
AbstractAnnotationRESTResource;[30%-40%];2.38
AbstractAnnotationRenderer;[90%-100%];1.0
AbstractApplicationContext;[0%-10%];3.2
AbstractAsyncClassDocumentInitializer;[80%-90%];2.65
AbstractAsyncContentBaseObjectWikiComponent;[90%-100%];1.0
AbstractAttachmentEvent;[70%-80%];1.0
AbstractAuthorizationSettler;[90%-100%];4.85
AbstractAuthorizationSettler.InternalSecurityAccessEntry;[90%-100%];1.0
AbstractAuthorizationSettler.Policies;[90%-100%];2.65
AbstractBaseObjectWikiComponent;[80%-90%];1.0
AbstractBcAsymmetricKeyParameters;[70%-80%];1.0
AbstractBcCbcPaddedCipherFactory;[70%-80%];1.55
AbstractBcKDF;[90%-100%];1.55
AbstractBcKDFFactory;[70%-80%];2.65
AbstractBcKeyFactory;[60%-70%];2.65
AbstractBcKeyPairGenerator;[90%-100%];1.0
AbstractBcOAEPEncodedCipherFactory;[90%-100%];1.0
AbstractBcPBCipher;[90%-100%];1.0
AbstractBcPBCipherFactory;[30%-40%];1.0
AbstractBcPBES2Cipher;[70%-80%];1.55
AbstractBcPBES2CipherFactory;[60%-70%];2.38
AbstractBcPBKDF2;[90%-100%];1.0
AbstractBcPssSignerFactory;[70%-80%];4.03
AbstractBcSignerFactory;[60%-70%];1.55
AbstractBcX509CertificateGenerator;[80%-90%];1.55
AbstractBeanEntityEventGenerator;[60%-70%];1.55
AbstractBeanFilterStreamFactory;[80%-90%];1.0
AbstractBeanInputFilterStream;[70%-80%];1.0
AbstractBeanInputFilterStreamFactory;[80%-90%];1.0
AbstractBeanOutputFilterStream;[70%-80%];1.0
AbstractBeanOutputFilterStreamFactory;[70%-80%];1.0
AbstractBeanOutputInstanceFilterStreamFactory;[90%-100%];1.0
AbstractBinaryOperatorNode;[30%-40%];1.55
AbstractBinaryStringEncoder;[90%-100%];1.0
AbstractBlockAsyncRenderer;[90%-100%];3.2
AbstractBlockParser;[80%-90%];1.55
AbstractBlockParser;[70%-80%];1.55
AbstractBlockRenderer;[70%-80%];2.65
AbstractBouncyCastleInternalBinaryStringEncoder;[90%-100%];1.0
AbstractBoxMacro;[90%-100%];1.55
AbstractCache;[70%-80%];1.55
AbstractCache;[90%-100%];1.55
AbstractCacheEntryListener;[40%-50%];1.0
AbstractCachedCompiler;[90%-100%];4.3
AbstractCachedExtensionRepository;[80%-90%];2.38
AbstractCachedTranslationBundle;[70%-80%];2.38
AbstractCancelableEvent;[90%-100%];1.0
AbstractCategoryPlotGenerator;[60%-70%];4.03
AbstractChainingContentHandlerStreamRenderer;[90%-100%];1.0
AbstractChainingPrintRenderer;[70%-80%];1.55
AbstractCheckRightsRequest;[90%-100%];1.0
AbstractClassPropertyValuesProvider;[80%-90%];3.2
AbstractCollectionConverter;[80%-90%];2.65
AbstractCommentEvent;[30%-40%];1.0
AbstractCommentsDocumentInitializer;[90%-100%];1.0
AbstractComponentDescriptorEvent;[80%-90%];1.55
AbstractCompositeConfigurationSource;[90%-100%];2.38
AbstractCompositeTree;[70%-80%];2.65
AbstractConfigurationSource;[80%-90%];4.03
AbstractConfigurationSourceProvider;[30%-40%];3.2
AbstractConfigurator;[40%-50%];1.0
AbstractContainerExecutor;[60%-70%];2.65
AbstractContainerMarker;[50%-60%];2.65
AbstractContextStore;[90%-100%];1.55
AbstractCopyOrMoveJob;[80%-90%];4.03
AbstractCopyOrMoveRequest;[90%-100%];1.0
AbstractCurrentGetReferenceResolver;[90%-100%];5.95
AbstractDataMigrationManager;[70%-80%];2.65
AbstractDataMigrationManager.MigrationStatus;[30%-40%];1.0
AbstractDataMigrationManager.ThreadLock;[80%-90%];1.55
AbstractDataMigrationManager.WikiDeletedEventListener;[60%-70%];1.0
AbstractDataMigrationManager.XWikiMigration;[90%-100%];1.0
AbstractDatabaseSearchSource;[80%-90%];5.12
AbstractDeletedDocumentsRequest;[90%-100%];1.0
AbstractDelta;[60%-70%];1.0
AbstractDistributionJob;[70%-80%];2.65
AbstractDistributionPage;[90%-100%];1.0
AbstractDistributionStep;[60%-70%];1.55
AbstractDocumentConfigurationSource;[80%-90%];2.38
AbstractDocumentEvent;[90%-100%];1.0
AbstractDocumentIterator;[90%-100%];1.0
AbstractDocumentListClassPropertyValuesProvider;[60%-70%];2.65
AbstractDocumentNotificationPreferenceProvider;[70%-80%];2.65
AbstractDocumentQuestionRecorder;[70%-80%];3.2
AbstractDocumentRevisionProvider;[90%-100%];3.2
AbstractDocumentTitleDisplayer;[80%-90%];3.2
AbstractDocumentTreeNode;[30%-40%];2.38
AbstractDoxiaParser;[80%-90%];1.55
AbstractDropNotNullDataMigrationAbstractEditor;[90%-100%];1.0
AbstractEditorBindingsSource;[60%-70%];2.65
AbstractEntityComponentManager;[80%-90%];3.48
